Order ID,Merchant ID,Restaurant Name,City,Tier,Cuisine,Dish Name,Base Time,Acoustic dB,POS Tickets,Chaos Index,Manual FOR Mins,Actual Food Ready Mins,Rider Arrival Mins,Rider Depart Mins,Actual Rider Wait Mins,Trust Score,Order Completion Time,Adjusted KPT Signal,Food Delay Mins,Total Delay,ETA Currently,Delay,Order Status,Old Error,New Error
ORDER_0001,MCH_003,The Chaat Point,Jaipur,Tier 3,Biryani,Hyderabadi Mutton Biryani,20,58.9,0,0.98,14.2,19.6,20.5,20.5,0,0.58,30.5,16.85,-0.4,-0.4,39,-8.5,Early,5.4,2.75
ORDER_0002,MCH_104,Urban Dhaba Lounge,Kolkata,Tier 2,North Indian,Dal Makhani Combo,12,70.8,9,1.67,9.3,20,14.1,20,5.9,0.29,35,16.9,8,13.9,25,10,Delayed,10.7,3.1
ORDER_0003,MCH_224,Classic Bake Darbar,Mumbai,Tier 3,Fast Food,Peri Peri Pizza,14,60,0,1,11.7,14,17.4,17.4,0,0.62,27.4,13.87,0,0,30,-2.6,Early,2.3,0.13
ORDER_0004,MCH_010,The Grill Lounge,Pune,Tier 2,North Indian,Paneer Butter Masala & Naan,15,76.6,10,1.83,14.3,27.4,21,27.4,6.4,0.13,42.4,25.7,12.4,18.8,31,11.4,Delayed,13.1,1.7
ORDER_0005,MCH_231,Shree Tandoor Palace,Hyderabad,Tier 3,Biryani,Hyderabadi Mutton Biryani,20,59.7,0,0.99,11.6,19.8,16.6,19.8,3.2,0.45,29.8,16.11,-0.2,3,37,-7.2,Early,8.2,3.69
ORDER_0006,MCH_219,Classic Kitchen Darbar,Mumbai,Tier 3,North Indian,Dal Makhani Combo,12,57,0,0.94,6.2,11.3,14.2,14.2,0,0.47,26.2,10.44,-0.7,-0.7,32,-5.8,Early,5.1,0.86
ORDER_0007,MCH_066,Classic Tandoor Corner,Bhilwara,Tier 2,Chinese,Hakka Noodles,10,72.5,8,1.65,13.3,16.5,17.8,17.8,0,0.7,32.8,14.65,6.5,6.5,22,10.8,Delayed,3.2,1.85
ORDER_0008,MCH_112,Golden Dhaba Story,Delhi,Tier 3,Biryani,Hyderabadi Mutton Biryani,20,53.9,0,0.88,15.9,17.6,23.8,23.8,0,0.47,37.8,20.09,-2.4,-2.4,35,2.8,On Time,1.7,2.49
ORDER_0009,MCH_013,Golden Dosa Express,Jaipur,Tier 3,Desserts,Choco Lava Cake,6,59,0,0.98,2,5.9,6,6,0,0.73,21,3.08,-0.1,-0.1,21,0,Early,3.9,2.82
ORDER_0010,MCH_086,Urban Wok Express,Jaipur,Tier 3,Biryani,Chicken Dum Biryani,18,62.6,0,1.05,15.5,18.9,19.1,19.1,0,0.76,33.1,16.36,0.9,0.9,32,1.1,On Time,3.4,2.54
ORDER_0011,MCH_234,Golden Dosa Hub,Bengaluru,Tier 3,Chinese,Hakka Noodles,10,62.7,0,1.05,8.9,10.5,15.7,15.7,0,0.55,28.7,11.96,0.5,0.5,28,0.7,On Time,1.6,1.46
ORDER_0012,MCH_090,The Wok Hub,Delhi,Tier 1,Biryani,Chicken Dum Biryani,18,83.2,23,2.61,41.4,47,47.9,47.9,0,0.57,59.9,44.19,29,29,33,26.9,Cancelled,5.6,2.81
ORDER_0013,MCH_054,Golden Biryani Hub,Mumbai,Tier 3,North Indian,Paneer Butter Masala & Naan,15,59.4,0,0.99,11.7,14.8,18.8,18.8,0,0.53,30.8,15.04,-0.2,-0.2,33,-2.2,Early,3.1,0.24
ORDER_0014,MCH_012,Grand Dhaba Story,Jaipur,Tier 2,Fast Food,Zinger Burger & Fries,10,73.8,8,1.68,11.3,16.8,16,16.8,0.8,0.63,30.8,13.34,6.8,7.6,23,7.8,Delayed,5.5,3.46
ORDER_0015,MCH_209,Desi Tandoor Story,Bhilwara,Tier 2,North Indian,Paneer Butter Masala & Naan,15,73,11,1.81,26.9,27.2,34.6,34.6,0,0.49,44.6,30.83,12.2,12.2,32,12.6,Delayed,0.3,3.63
ORDER_0016,MCH_014,Spicy Dosa Junction,Delhi,Tier 3,Chinese,Hakka Noodles,10,58.9,0,0.98,2.4,9.8,6,9.8,3.8,0.51,23.8,6.03,-0.2,3.6,21,2.8,On Time,7.4,3.77
ORDER_0017,MCH_121,Classic Dhaba Story,Bhilwara,Tier 3,South Indian,Idli Vada Set,5,63.6,0,1.07,3.2,5.4,6.4,6.4,0,0.79,18.4,3.87,0.4,0.4,19,-0.6,Early,2.2,1.53
ORDER_0018,MCH_020,Bombay Biryani Lounge,Mumbai,Tier 2,North Indian,Paneer Butter Masala & Naan,15,63,3,1.21,14,18.2,18.5,18.5,0,0.7,28.5,15.35,3.2,3.2,28,0.5,On Time,4.2,2.85
ORDER_0019,MCH_075,Grand Biryani Story,Jaipur,Tier 2,Chinese,Hakka Noodles,10,78.3,9,1.82,5.2,18.2,12.2,18.2,6,0.13,33.2,16.51,8.2,14.2,28,5.2,Delayed,13,1.69
ORDER_0020,MCH_243,Golden Dhaba House,Hyderabad,Tier 3,Biryani,Hyderabadi Mutton Biryani,20,57.8,0,0.96,12.7,19.2,19.1,19.2,0.1,0.57,30.2,15.5,-0.8,-0.7,38,-7.8,Early,6.5,3.7
ORDER_0021,MCH_223,Golden Dhaba Lounge,Ahmedabad,Tier 1,Beverages,Cold Coffee,4,86.7,15,2.28,2,9.1,7.2,9.1,1.9,0.53,19.1,5.34,5.1,7,15,4.1,On Time,7.1,3.76
ORDER_0022,MCH_070,Desi Dosa Junction,Ahmedabad,Tier 1,North Indian,Paneer Butter Masala & Naan,15,94.6,23,2.84,39.9,42.6,44.2,44.2,0,0.71,58.2,41.15,27.6,27.6,32,26.2,Cancelled,2.7,1.45
ORDER_0023,MCH_211,Spicy Grill Darbar,Delhi,Tier 2,Biryani,Hyderabadi Mutton Biryani,20,66.4,6,1.43,19.2,28.6,22.5,28.6,6.1,0.37,38.6,25.12,8.6,14.7,38,0.6,On Time,9.4,3.48
ORDER_0024,MCH_101,Desi Grill House,Mumbai,Tier 1,Biryani,Chicken Dum Biryani,18,95,26,3,50.2,54,54.9,54.9,0,0.69,64.9,51.66,36,36,38,26.9,Cancelled,3.8,2.34
ORDER_0025,MCH_186,Spicy Wok Corner,Mumbai,Tier 3,Fast Food,Peri Peri Pizza,14,56.4,0,0.93,7.4,13,12.7,13,0.3,0.63,26,9.47,-1,-0.7,28,-2,Early,5.6,3.53
ORDER_0026,MCH_132,Desi Bake Story,Kolkata,Tier 2,Fast Food,Zinger Burger & Fries,10,62.1,3,1.19,2.9,11.9,9.3,11.9,2.6,0.4,26.9,8.3,1.9,4.5,22,4.9,On Time,9,3.6
ORDER_0027,MCH_111,Spicy Bake Darbar,Bengaluru,Tier 3,Biryani,Chicken Dum Biryani,18,61.5,0,1.03,15.4,18.5,21.6,21.6,0,0.59,33.6,17.94,0.5,0.5,32,1.6,On Time,3.1,0.56
ORDER_0028,MCH_132,Desi Bake Story,Kolkata,Tier 2,Biryani,Chicken Dum Biryani,18,66.2,4,1.32,19.5,23.8,27.2,27.2,0,0.49,39.2,23.43,5.8,5.8,29,10.2,Delayed,4.3,0.37
